,title,time
308,2019年9月香港中环甲厦租金月跌1.7%(658),2019-10-24
309,香港李嘉诚再卖内地资产8年未开发转手赚超21亿(1766),2019-10-23
310,"香港发展局局长称新一份<>收地速度及幅度""大胆""(759)",2019-10-18
311,林郑月娥发表施政报告聚焦房屋土地等领域吁珍惜香港(1770),2019-10-16
312,"林郑月娥发表2019年施政报告聚焦房屋土地等领域吁""珍惜香港""(...",2019-10-16
313,香港首次置业人士可申请最高九成按揭贷款的楼价上限提升至800万港...,2019-10-16
314,香港放宽首次置业按揭800万港元楼可借九成(322),2019-10-16
315,香港给予首次购房者更多贷款支持(641),2019-10-16
316,香港2019年3季度地彭租金按季跌1成创1998年第1季以来最大...,2019-10-15
317,香港.上海.北京位列全球房地产投资排行榜前25(1670),2019-10-12
318,香港佳源国际2019年1-9月销售182亿完成年度目标超六成(594),2019-10-09
319,香港龙光地产2019年9月合约销售额劲增57.8%(240),2019-10-09
320,香港核心区商厦空置率超3%达5年新高(457),2019-09-27
321,香港新世界集团重点布局大湾区积极配合国家发展方向(1693),2019-09-26
322,"香港郑氏家族将捐27万平农地兴建公屋已1港元""租出""三块地皮(1...",2019-09-26
323,香港特区政府新一季推出两幅住宅地共可提供980个单位(275),2019-09-26
324,广州南沙自贸区逐步向香港扩大开放建筑市场(506),2019-09-25
325,许家印赴香港视察恒大在港首个住宅项目(96),2019-09-21
326,美国Allbirds与香港太古地产达成合作持续扩张中国市场(1199),2019-09-20
327,中原施永青谈香港楼价市场化价格必然和市民购买力脱节(210),2019-09-20
328,香港派糖共克时艰向租户提供半数租金减免2019年3季度经济或负增...,2019-09-20
329,香港房协推长者业主楼换楼计划料1300住户合资格(306),2019-09-18
330,香港着手破解住房难题(1669),2019-09-16
331,香港二手楼价指数创19个星期新低(504),2019-09-15
332,一波三折香港港股盘中剧烈震荡(977),2019-09-06
333,下个十年香港天誉集团轻启九里湖大城时代(1226),2019-09-05
334,2019年7月香港私人住宅楼价指数降至394.4(339),2019-09-02
335,盈利靠出售资产拉动香港阳光100转型路漫长(1436),2019-08-29
336,香港金辉集团2019年上半年营收同比增长95%(1357),2019-08-29
337,香港恒盛地产2019年上半年销售额下滑62.59%亏损13.64...,2019-08-28
338,2019年8月27日香港长实集团逆市升逾1%(295),2019-08-27
339,香港绿城服务获大行升目标现扬5.22%暂三连升累涨17%(284),2019-08-27
340,"香港地产项目刷新昆明城市""天际线""(698)",2019-08-23
341,香港华润置地2019年上半年营业额458.5亿元斥资820.6亿...,2019-08-22
342,绿地香港2019年上半年净利润8.8亿元境外贷款比例降低一半(966),2019-08-22
343,香港华润置地2019年上半年净利润127亿元毛利率下滑至38.2...,2019-08-20
344,香港华润置地代建项目超100个2019年上半年代建收入15亿元(...,2019-08-20
345,暴力冲击对香港投资市场信心打击明显股市楼市呈转势(693),2019-08-09
346,香港太古地产2019年上半年股东应占溢利89.73亿港元同比跌5...,2019-08-08
347,香港建业地产2019年1-7月销售449亿轻资产销售额占比超三成...,2019-08-07
348,TYT泰永长征与香港建业集团签订战略合作采购协议(1002),2019-08-07
349,香港2019年7月十大蓝筹屋苑二手合约下跌创6个月新低(464),2019-08-05
350,香港建业地产发行3亿美元票据年利率6.875%(358),2019-08-02
351,港澳台居民可在广东东莞限购一套新建商品房(474),2019-08-01
352,香港长实集团2019年上半年录得固定现金流93亿港元(231),2019-08-01
353,港澳台居民符合资格可在广东东莞购一套新建商品住房(403),2019-07-31
354,香港港股短线面临考验后市留意中报行情(787),2019-07-30
355,香港太古地产签署5亿港元可持续发展表现挂钩贷款(417),2019-07-30
356,香港恒隆地产2019年上半年股东应占净利同比降25%至35.16...,2019-07-30
357,香港新城发展控股已向金科集团附属公司转让27亿元地产项目(467),2019-07-29
358,恒指大跌1.3%挫近400点-香港本地股跌幅居前(153),2019-07-29
359,2019年7月29日香港地产股普跌九龙仓置业跌近5%(224),2019-07-29
360,香港地价略下挫发展商对后市看法趋向保守(661),2019-07-25
361,内地企业在香港写字楼吸纳量2019年上半年降近四成(276),2019-07-24
362,2019年上半年香港二手豪宅买卖录得973宗金额创新高(366),2019-07-23
363,香港新城发展.新城悦均一度跌8%目前拟出售项目约40个(80),2019-07-23
364,"香港港A两市地产股走强板块现""N""型走势(1563)",2019-07-22
